Oneview Node,Type,street,Upgrade Date
nlhen06st2rm047,"worker,worker-nokia-ncc",st02-c,2025-04-08
nlhen06st2rm029,"worker,worker-nokia-cmg",st02-c,2025-04-08
nlhen06st2rm058,"worker,worker-nokia-ht",st02-c,2025-04-08
nlhen06st2rm025,"worker,worker-nokia",st02-c,2025-04-08
nlhen06st2rm064,"worker,worker-nokia-ncc",st02-c,2025-04-09
nlhen06st2rm022,"worker,worker-nokia",st02-c,2025-04-09
nlhen06st2rm026,"worker,worker-nokia",st02-c,2025-04-09
nlhen06st2rm033,"control-plane,master",st02-d,2025-04-10
nlhen06st2rm037,"worker,worker-naas",st02-d,2025-04-10
nlhen06st2rm036,"worker,worker-naas",st02-d,2025-04-10
nlhen06st2rm034,"control-plane,master",st02-d,2025-04-11
nlhen06st2rm035,"control-plane,master",st02-d,2025-04-14
nlhen06st2rm038,"worker,worker-naas",st02-d,2025-04-15
nlhen06st3rm039,"control-plane,master",st02-e,2025-04-16
nlhen06st3rm042,"worker,worker-titanium",st02-e,2025-04-16
nlhen06st3rm044,"worker,worker-titanium",st02-e,2025-04-16
nlhen06st3rm045,"worker,worker-titanium",st02-e,2025-04-16
nlhen06st3rm047,"worker,worker-titanium",st02-e,2025-04-16
nlhen06st3rm040,"control-plane,master",st02-e,2025-04-17
nlhen06st3rm043,"worker,worker-titanium",st02-e,2025-04-17
nlhen06st3rm046,"worker,worker-titanium",st02-e,2025-04-17
nlhen06st3rm041,"control-plane,master",st02-e,2025-04-18
nlhen06st3rm002,"control-plane,master",st03-a,2025-04-21
nlhen06st3rm006,"worker,worker-openet",st03-a,2025-04-21
nlhen06st3rm024,"worker,worker-openet",st03-a,2025-04-21
nlhen06st3rm003,"control-plane,master",st03-a,2025-04-22
nlhen06st3rm004,"control-plane,master",st03-a,2025-04-23
nlhen06st3rm005,"worker,worker-openet",st03-a,2025-04-24
nlhen06st3rm007,"control-plane,master",st03-b,2025-04-25
nlhen06st3rm012,"worker,worker-ericsson-standard",st03-b,2025-04-25
nlhen06st3rm015,"worker,worker-ericsson-standard",st03-b,2025-04-25
nlhen06st3rm010,"worker,worker-ericsson-standard",st03-b,2025-04-25
nlhen06st3rm013,"worker,worker-ericsson-standard",st03-b,2025-04-25
nlhen06st3rm008,"control-plane,master",st03-b,2025-04-28
nlhen06st3rm014,"worker,worker-ericsson-standard",st03-b,2025-04-28
nlhen06st3rm011,"worker,worker-ericsson-standard",st03-b,2025-04-28
nlhen06st3rm009,"control-plane,master",st03-b,2025-04-29
nlhen06st3rm016,"control-plane,master",st03-c,2025-04-30
nlhen06st3rm048,"worker,worker-nokia",st03-c,2025-04-30
nlhen06st1rm039,"worker,worker-nokia",st03-c,2025-04-30
nlhen06st3rm021,"worker,worker-nokia",st03-c,2025-04-30
nlhen06st3rm050,"worker,worker-nokia-ht",st03-c,2025-04-30
nlhen06st3rm052,"worker,worker-nokia-ht",st03-c,2025-04-30
nlhen06st3rm017,"control-plane,master",st03-c,2025-05-01
nlhen06st3rm051,"worker,worker-nokia-ht",st03-c,2025-05-01
nlhen06st3rm025,"worker,worker-nokia-cmg",st03-c,2025-05-01
nlhen06st3rm027,"worker,worker-nokia-ht",st03-c,2025-05-01
nlhen06st3rm053,"worker,worker-nokia-ht",st03-c,2025-05-01
nlhen06st3rm019,"worker,worker-nokia",st03-c,2025-05-01
nlhen06st3rm018,"control-plane,master",st03-c,2025-05-02
nlhen06st3rm026,"worker,worker-nokia-ht",st03-c,2025-05-02
nlhen06st3rm023,"worker,worker-nokia-cmg",st03-c,2025-05-02
nlhen06st3rm020,"worker,worker-nokia",st03-c,2025-05-02
nlhen06st3rm054,"worker,worker-nokia-ht",st03-c,2025-05-02
nlhen06st3rm022,"worker,worker-nokia",st03-c,2025-05-02
nlhen06st3rm049,"worker,worker-nokia-cmg",st03-c,2025-05-05
nlhen06st3rm028,"control-plane,master",st03-e,2025-05-06
nlhen06st3rm057,"worker,worker-titanium",st03-e,2025-05-06
nlhen06st3rm056,"worker,worker-titanium",st03-e,2025-05-06
nlhen06st3rm032,"worker,worker-titanium",st03-e,2025-05-06
nlhen06st3rm055,"worker,worker-titanium",st03-e,2025-05-06
nlhen06st3rm029,"control-plane,master",st03-e,2025-05-07
nlhen06st3rm031,"worker,worker-titanium",st03-e,2025-05-07
nlhen06st3rm030,"control-plane,master",st03-e,2025-05-08
